"bundle id","bundle title","tag"
"3154","Friday Special Bundle #63","group buy"
"3162","Indie Arena Bundle","group buy"
"3172","Hump Day Bundle #52","group buy"
"3177","Indie Galaxy Bundle","group buy"
"3201","Monday Motivation Bundle #43","group buy"
"3210","Doodle Heroes Bundle","group buy"
"3214","Virtual Reality XXI Bundle","group buy"
"3223","Indie Chronicles Bundle","group buy"
"3225","Friday Special Bundle #64","group buy"
"3232","Monday Motivation Bundle #44","group buy"
"3236","Hump Day Bundle #53","group buy"
"3239","Anime Heaven Bundle","group buy"
"3252","BlazBlue River Bundle","group buy"
"3257","Indie Fleet Bundle","group buy"
"3261","Virtual Reality XXII Bundle","group buy"
"3268","Monday Motivation Bundle #45","group buy"
"3273","Bang Bang Bundle","group buy"
"3278","Friday Special Bundle #65","group buy"
"3285","Hump Day Bundle #54","group buy"
"3291","Indie Conquest Bundle","group buy"
"3297","Monday Motivation Bundle #46","group buy"
"3302","Orion Suns Bundle","group buy"
"3306","Virtual Reality XXIII Bundle","group buy"
"3314","Microids Bundle",NULL
"3321","Friday Special Bundle #66","group buy"
"3324","Monday Motivation Bundle #47","group buy"
"3327","Hump Day Bundle #55","group buy"
"3332","Artifex Mundi Bundle #9","group buy"
"3339","Phoenix Online 2 Bundle","group buy"
"3345","Indie Stellar Bundle","group buy"
"3349","Virtual Reality XXIV Bundle","group buy"
"3355","Monday Motivation Bundle #48","group buy"
"3358","Cyber Revenge Bundle",NULL
"3363","Friday Special Bundle #67","group buy"
"3371","Best of Qumaron Bundle",NULL
"3375","Hump Day Bundle #56","group buy"
"3379","Lost &amp; Found Bundle","group buy"
"3386","Monday Motivation Bundle #49","group buy"
"3391","Galactic Strike Bundle","group buy"
"3398","Virtual Reality XXV Bundle","group buy"
"3406","Anime Rhapsody Bundle",NULL
"3412","Friday Special Bundle #68","group buy"
"3415","Monday Motivation Bundle #50","group buy"
"3423","Hump Day Bundle #57","group buy"
"3425","Barbarian Taco Bundle","group buy"
"3438","The Rocket Force Bundle","group buy"
"3442","Virtual Reality XXVI Bundle","group buy"
"3448","Monday Motivation Bundle #51","group buy"
"3452","The Mega Bundle",NULL
"3453","The Magic 10 Bundle",NULL
"3454","The Still Life Bundle",NULL
"3455","Jagged Alliance Bundle",NULL
"3456","The Syberia Bundle",NULL
"3458","Indie Magic Bundle","group buy"
"3462","Friday Special Bundle #69","group buy"
"3470","Hump Day Bundle #58","group buy"
"3474","Midsummer Indie Bundle","group buy"
"3483","Monday Motivation Bundle #52","group buy"
"3487","Indie Vault Bundle","group buy"
"3490","Virtual Reality XXVII Bundle","group buy"
"3496","Turn-Based Definitive Bundle","group buy"
"3499","For Kids Bundle","group buy"
"3504","Friday Special Bundle #70","group buy"
"3510","Monday Motivation Bundle #53","group buy"
"3515","Hump Day Bundle #59","group buy"
"3520","Flaming Indie Bundle",NULL
"3541","Chain Reaction Bundle","group buy"
"3544","Indie Squad Bundle","group buy"
"3549","Virtual Reality XXVIII Bundle","group buy"
"3566","Monday Motivation Bundle #54","group buy"
"3569","Slash &amp; Dab Bundle",NULL
"3572","Friday Special Bundle #71","group buy"
"3576","Hanako Anime Bundle","group buy"
"3579","Hump Day Bundle #60","group buy"
"3583","Indie Side Out Bundle","group buy"
"3588","Monday Motivation Bundle #55","group buy"
"3591","Indie Revelation Bundle","group buy"
"3594","Virtual Reality XXIX Bundle","group buy"
"3601","Majesco Throwback Bundle","group buy"
"3605","Friday Special Bundle #72","group buy"
"3611","Monday Motivation Bundle #56","group buy"
"3614","Hump Day Bundle #61","group buy"
"3619","Artifex Mundi Bundle #10",NULL
"3623","Bullid Games Bundle","group buy"
"3628","Kawaii Anime Bundle","group buy"
"3628","Kawaii Anime Bundle","group buy"
"3632","Virtual Reality XXX Bundle","group buy"
"3638","Monday Motivation Bundle #57","group buy"
"3642","Indie Mutation Bundle","group buy"
"3645","Friday Special Bundle #73","group buy"
"3654","Real Fighting Bundle","group buy"
"3677","Hump Day Bundle #62","group buy"
"3687","Indie Road Trip Bundle","group buy"
"3691","Monday Motivation Bundle #58","group buy"
"3694","The Dharker Studio Bundle #3",NULL
"3697","Virtual Reality XXXI Bundle","group buy"
"3708","Jetdogs Studio Bundle","group buy"
"3712","Indie Bomber Bundle","group buy"
"3720","Friday Special Bundle #74","group buy"
"3724","Monday Motivation Bundle #59","group buy"
"3728","Hump Day Bundle #63","group buy"
"3732","Indie Streets Bundle","group buy"
"3735","Qumaron Bundle","group buy"
"3739","Indie Tekkers Bundle","group buy"
"3748","Virtual Reality XXXII Bundle",NULL
"3752","Golden Flash Giveaway",NULL
"3757","Monday Motivation Bundle #60","group buy"
"3758",,NULL
"3762","Mech &amp; Blocks Bundle","group buy"
"3773","Friday Special Bundle #75","group buy"
"3779","Halloween Haunt Bundle","group buy"
"3786","Hump Day Bundle #64","group buy"
"3791","U + Me Seduction Bundle",NULL
"3795","Monday Motivation Bundle #61","group buy"
"3798","Leisure Suit Larry Encore Bundle","group buy"
"3802","Virtual Reality XXXIII Bundle","group buy"
"3810","Indie Armored Bundle","group buy"
"3813","Friday Special Bundle #76","group buy"
"3819","Monday Motivation Bundle #62","group buy"
"3824","Hump Day Bundle #65","group buy"
"3826","Gun Shield Bundle","group buy"
"3836","The Indie Debate Bundle",NULL
